graph_id,graph_label,node_id,degree,pagerank,node_label,node_attr_0,node_attr_1,node_attr_2,node_attr_3
0,0,0,2,0.018323,0,1.0,0.0,9.7767,-3.549
0,0,1,3,0.02607,0,1.0,0.0,8.9107,-3.049
0,0,2,3,0.024945,0,1.0,0.0,8.9107,-2.049
0,0,3,3,0.025768,0,1.0,0.0,9.7767,-1.549
0,0,4,3,0.026185,0,1.0,0.0,10.6427,-2.049
0,0,5,2,0.018525,0,1.0,0.0,10.6427,-3.049
0,0,6,2,0.018598,1,2.0,0.0,9.7767,-0.549
0,0,7,3,0.029046,0,1.0,0.0,10.6427,-0.049
0,0,8,3,0.028615,0,1.0,0.0,11.5088,-0.549
0,0,9,2,0.018844,0,1.0,0.0,11.5088,-1.549
0,0,10,1,0.011359,1,2.0,0.0,10.6427,0.951
0,0,11,2,0.018437,1,2.0,0.0,8.0447,-3.549
0,0,12,4,0.037575,0,1.0,0.0,7.1786,-3.049
0,0,13,3,0.026164,0,1.0,0.0,7.1786,-2.049
0,0,14,3,0.025572,0,1.0,0.0,8.0447,-1.549
0,0,15,4,0.03473,0,1.0,0.0,7.1786,0.951
0,0,16,2,0.018593,0,1.0,0.0,8.9407,0.0416
0,0,17,2,0.018832,0,1.0,0.0,9.2794,0.9825
0,0,18,4,0.036427,0,1.0,0.0,7.5174,1.8919
0,0,19,3,0.028405,0,1.0,0.0,4.9432,1.0044
0,0,20,2,0.018637,1,2.0,0.0,5.369,0.0995
0,0,21,4,0.037211,0,1.0,0.0,6.8655,2.9327
0,0,22,1,0.01124,1,2.0,0.0,4.0023,1.3432
0,0,23,3,0.027788,0,1.0,0.0,7.1786,-0.049
0,0,24,2,0.018225,1,2.0,0.0,8.0447,-0.549
0,0,25,1,0.011032,1,2.0,0.0,6.4114,-0.6904
0,0,26,1,0.011114,0,1.0,0.0,6.6786,-3.915
0,0,27,1,0.011114,0,1.0,0.0,6.1786,-3.049
0,0,28,4,0.034853,0,1.0,0.0,4.7281,-1.1288
0,0,29,2,0.018596,0,1.0,0.0,6.3967,-0.0576
0,0,30,2,0.018855,0,1.0,0.0,5.7512,0.7062
0,0,31,4,0.036443,0,1.0,0.0,4.0826,-0.3651
0,0,32,3,0.028436,0,1.0,0.0,3.5642,-3.0382
0,0,33,2,0.018639,1,2.0,0.0,4.5608,-3.1219
0,0,34,4,0.037219,0,1.0,0.0,2.8553,-0.4091
0,0,35,1,0.01124,1,2.0,0.0,2.8004,-3.6836
0,0,36,3,0.027871,0,1.0,0.0,5.3735,-1.8926
0,0,37,2,0.018572,1,2.0,0.0,6.3126,-1.549
0,0,38,1,0.011108,1,2.0,0.0,5.2016,-2.8778
0,0,39,1,0.011096,0,1.0,0.0,2.0983,0.2443
0,0,40,1,0.011096,0,1.0,0.0,2.0,-0.927
0,0,41,1,0.011084,0,1.0,0.0,7.0529,3.915
0,0,42,1,0.011084,0,1.0,0.0,5.9892,3.4145
0,0,43,1,0.010939,0,1.0,0.0,7.8561,2.8328
0,0,44,1,0.010944,0,1.0,0.0,3.4371,0.3987
0,0,45,2,0.022051,1,2.0,0.0,12.3748,-0.049
0,0,46,1,0.012501,0,1.0,0.0,13.2408,-0.549
1,1,0,2,0.088349,2,4.0,0.0,2.866,-0.433
1,1,1,3,0.132041,0,1.0,0.0,3.732,-0.933
1,1,2,2,0.088349,2,4.0,0.0,4.5981,-0.433
1,1,3,3,0.131378,0,1.0,0.0,4.5981,0.567
1,1,4,4,0.174333,0,1.0,0.0,3.7321,1.067
1,1,5,3,0.131378,0,1.0,0.0,2.866,0.567
1,1,6,1,0.051087,1,2.0,0.0,3.732,-1.933
1,1,7,1,0.050899,1,2.0,0.0,5.4641,1.067
1,1,8,1,0.050899,1,2.0,0.0,2.0,1.067
1,1,9,1,0.050643,0,1.0,0.0,3.2321,1.933
1,1,10,1,0.050643,3,7.0,0.0,4.2321,1.933
2,1,0,3,0.170722,0,1.0,0.0,4.5981,0.75
2,1,1,2,0.124084,0,1.0,0.0,4.5981,-0.25
2,1,2,1,0.069355,2,4.0,0.0,4.5981,-1.25
2,1,3,2,0.119365,2,4.0,0.0,5.4641,1.25
2,1,4,2,0.127608,0,1.0,0.0,6.3301,0.75
2,1,5,1,0.070947,0,1.0,0.0,7.1962,1.25
2,1,6,2,0.119365,2,4.0,0.0,3.7321,1.25
2,1,7,2,0.127608,0,1.0,0.0,2.866,0.75
2,1,8,1,0.070947,0,1.0,0.0,2.0,1.25
