graph_id,graph_label,node_id,degree,pagerank,node_label,node_attr_0,node_attr_1,node_attr_2,node_attr_3,node_attr_4,node_attr_5,node_attr_6,node_attr_7,node_attr_8,node_attr_9,node_attr_10,node_attr_11,node_attr_12,node_attr_13,node_attr_14,node_attr_15,node_attr_16,node_attr_17
0,6,0,3,0.018268,1,11.0,15.887014,37.78,-0.51,1.701,93.9,4.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,6.0,2.0
0,6,1,5,0.028098,1,11.0,16.362935,40.38,-2.03,1.777,102.6,2.0,7.0,2.0,6.0,2.0,3.0,3.0,2.0,6.0,1.0,8.0,2.0
0,6,2,5,0.027908,1,16.0,21.395072,63.35,2.04,2.981,136.0,2.0,7.0,7.0,6.0,4.0,6.0,6.0,2.0,8.0,2.0,7.0,7.0
0,6,3,6,0.0331,1,6.0,8.881706,16.92,1.79,0.805,42.7,3.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,2.0
0,6,4,4,0.023426,1,17.0,25.530009,53.41,-5.79,2.363,156.9,7.0,7.0,3.0,7.0,8.0,2.0,3.0,7.0,7.0,7.0,7.0,3.0
0,6,5,5,0.028638,1,6.0,8.345463,24.19,-1.17,1.093,55.7,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0
0,6,6,4,0.024484,1,9.0,12.384249,35.77,1.24,1.633,73.2,2.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0
0,6,7,5,0.029929,1,3.0,5.46507,10.03,1.17,0.469,19.8,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0
0,6,8,3,0.019502,1,6.0,8.864602,18.98,1.42,0.881,43.7,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0
0,6,9,5,0.029935,1,10.0,13.509898,45.5,-2.5,2.061,100.7,2.0,2.0,6.0,7.0,2.0,1.0,2.0,1.0,7.0,2.0,2.0,6.0
