graph_id,graph_label,node_id,degree,pagerank,node_label
0,1,0,2,0.054253,0
0,1,1,2,0.054084,0
0,1,2,2,0.052339,0
0,1,3,3,0.072301,0
0,1,4,3,0.073684,0
0,1,5,2,0.052715,0
0,1,6,2,0.051531,0
0,1,7,2,0.051491,0
0,1,8,3,0.073083,0
0,1,9,3,0.072118,0
0,1,10,2,0.051782,0
0,1,11,2,0.053171,0
0,1,12,3,0.078558,0
0,1,13,2,0.051867,0
0,1,14,3,0.089028,1
0,1,15,1,0.033997,2
0,1,16,1,0.033997,2
1,-1,0,2,0.071393,0
1,-1,1,2,0.069834,0
1,-1,2,3,0.098904,0
1,-1,3,2,0.070029,0
1,-1,4,2,0.071846,0
1,-1,5,2,0.071718,0
1,-1,6,2,0.069907,1
1,-1,7,3,0.098192,0
1,-1,8,3,0.102444,0
1,-1,9,2,0.070833,0
1,-1,10,3,0.116006,1
1,-1,11,1,0.044447,2
1,-1,12,1,0.044447,2
2,-1,0,2,0.071393,0
2,-1,1,2,0.069834,0
2,-1,2,3,0.098904,0
2,-1,3,3,0.098192,0
2,-1,4,2,0.069907,0
2,-1,5,2,0.071718,0
2,-1,6,2,0.071846,0
2,-1,7,2,0.070029,1
2,-1,8,3,0.102444,0
2,-1,9,2,0.070833,0
2,-1,10,3,0.116006,1
2,-1,11,1,0.044447,2
2,-1,12,1,0.044447,2
3,1,0,2,0.047762,0
3,1,1,2,0.047735,0
3,1,2,2,0.046035,0
3,1,3,3,0.062905,0
3,1,4,3,0.062998,0
3,1,5,2,0.046034,0
3,1,6,3,0.062523,0
3,1,7,2,0.045451,0
3,1,8,2,0.046816,0
3,1,9,2,0.045973,0
3,1,10,3,0.064437,0
3,1,11,3,0.061416,0
3,1,12,3,0.062291,0
3,1,13,3,0.067284,0
3,1,14,2,0.046545,0
3,1,15,2,0.045838,0
3,1,16,3,0.078067,1
3,1,17,1,0.029945,2
3,1,18,1,0.029945,2
4,-1,0,2,0.088141,0
4,-1,1,2,0.087965,0
4,-1,2,3,0.129855,0
4,-1,3,3,0.127243,0
4,-1,4,2,0.086807,0
4,-1,5,3,0.131278,0
4,-1,6,1,0.050794,3
4,-1,7,3,0.140487,1
4,-1,8,1,0.053481,2
4,-1,9,1,0.053481,2
4,-1,10,1,0.050467,3
5,1,0,2,0.030579,0
5,1,1,2,0.030579,0
5,1,2,3,0.043196,0
5,1,3,3,0.045893,0
5,1,4,2,0.031443,0
5,1,5,3,0.045893,0
5,1,6,3,0.043196,0
5,1,7,3,0.041589,0
5,1,8,3,0.041589,0
5,1,9,3,0.043196,0
5,1,10,3,0.045893,0
5,1,11,2,0.031443,0
5,1,12,3,0.045893,0
5,1,13,3,0.043196,0
5,1,14,2,0.030579,0
5,1,15,2,0.030579,0
5,1,16,3,0.05311,1
5,1,17,1,0.020353,2
5,1,18,1,0.020353,2
5,1,19,3,0.05311,1
5,1,20,1,0.020353,2
5,1,21,1,0.020353,2
5,1,22,3,0.05311,1
5,1,23,1,0.020353,2
5,1,24,1,0.020353,2
5,1,25,3,0.05311,1
5,1,26,1,0.020353,2
5,1,27,1,0.020353,2
6,-1,0,1,0.033903,0
6,-1,1,3,0.086425,0
6,-1,2,2,0.056743,0
6,-1,3,3,0.08049,0
