graph_id,graph_label,node_id,degree,pagerank,node_label
0,0,0,1,0.027561,1
0,0,1,1,0.027561,1
0,0,2,1,0.027744,1
0,0,3,1,0.027744,1
0,0,4,1,0.029201,1
0,0,5,2,0.044335,2
0,0,6,2,0.045865,2
0,0,7,3,0.072203,2
0,0,8,2,0.048106,2
0,0,9,3,0.072856,2
0,0,10,3,0.062724,3
0,0,11,3,0.063843,3
0,0,12,2,0.043615,3
0,0,13,2,0.043736,3
0,0,14,3,0.065031,3
0,0,15,2,0.044183,3
0,0,16,3,0.069917,3
0,0,17,2,0.049612,3
0,0,18,1,0.026986,3
0,0,19,3,0.077975,3
0,0,20,1,0.029201,3
1,0,0,1,0.02254,4
1,0,1,2,0.04213,1
1,0,2,2,0.037277,1
1,0,3,1,0.023805,1
1,0,4,3,0.053862,2
1,0,5,2,0.038279,2
1,0,6,3,0.05208,3
1,0,7,3,0.054176,3
1,0,8,3,0.051466,3
1,0,9,3,0.052003,3
1,0,10,2,0.037174,3
1,0,11,2,0.037262,3
1,0,12,3,0.062065,3
1,0,13,2,0.038324,3
1,0,14,2,0.038432,3
1,0,15,1,0.023805,3
1,0,16,1,0.024158,3
1,0,17,3,0.057651,3
1,0,18,3,0.05576,3
1,0,19,2,0.038901,3
1,0,20,2,0.038901,3
1,0,21,2,0.039938,3
1,0,22,2,0.039938,3
1,0,23,2,0.040072,3
2,0,0,1,0.019805,7
2,0,1,1,0.019805,7
2,0,2,1,0.019805,7
2,0,3,1,0.019805,7
2,0,4,1,0.019805,7
2,0,5,1,0.019805,7
2,0,6,2,0.036368,1
2,0,7,1,0.019716,1
2,0,8,1,0.019966,1
2,0,9,1,0.019966,1
2,0,10,1,0.020116,1
2,0,11,1,0.020116,1
2,0,12,2,0.031574,2
2,0,13,2,0.032825,2
2,0,14,2,0.03138,2
2,0,15,3,0.052059,2
2,0,16,3,0.052589,2
2,0,17,4,0.061878,3
2,0,18,4,0.068645,3
2,0,19,4,0.068645,3
2,0,20,3,0.044835,3
2,0,21,3,0.051397,3
2,0,22,3,0.046148,3
2,0,23,2,0.031484,3
2,0,24,2,0.03151,3
2,0,25,2,0.031816,3
2,0,26,3,0.047117,3
2,0,27,2,0.039196,3
2,0,28,1,0.021824,3
3,0,0,1,0.019759,5
3,0,1,2,0.036401,1
3,0,2,1,0.020579,1
3,0,3,1,0.020579,1
3,0,4,2,0.03015,2
3,0,5,2,0.031119,2
3,0,6,2,0.031953,2
3,0,7,3,0.054036,2
3,0,8,3,0.043118,3
3,0,9,3,0.04335,3
3,0,10,3,0.043269,3
3,0,11,3,0.043776,3
3,0,12,3,0.043618,3
3,0,13,2,0.031203,3
3,0,14,2,0.031485,3
3,0,15,3,0.04703,3
3,0,16,2,0.031253,3
3,0,17,3,0.047423,3
3,0,18,2,0.032167,3
3,0,19,2,0.032545,3
3,0,20,2,0.032536,3
3,0,21,3,0.046947,3
3,0,22,2,0.033132,3
3,0,23,2,0.033132,3
3,0,24,1,0.020812,3
3,0,25,2,0.033782,3
3,0,26,2,0.033782,3
3,0,27,3,0.051063,3
4,0,0,1,0.023681,4
4,0,1,2,0.045268,1
4,0,2,1,0.023681,1
4,0,3,1,0.024137,1
4,0,4,2,0.045832,1
4,0,5,1,0.024086,1
4,0,6,1,0.024429,1
4,0,7,1,0.024841,1
4,0,8,3,0.057639,2
4,0,9,2,0.041296,2
4,0,10,2,0.041296,3
4,0,11,3,0.060369,3
4,0,12,2,0.039427,3
4,0,13,3,0.060369,3
4,0,14,3,0.061967,3
4,0,15,3,0.058792,3
4,0,16,3,0.06192,3
4,0,17,3,0.063077,3
4,0,18,2,0.04894,3
4,0,19,3,0.064692,3
4,0,20,2,0.049387,3
4,0,21,1,0.02736,3
4,0,22,1,0.027512,3
5,0,0,1,0.022477,1
5,0,1,1,0.022477,1
5,0,2,1,0.021366,1
5,0,3,1,0.022477,1
5,0,4,1,0.022477,1
5,0,5,2,0.03573,2
5,0,6,2,0.036587,2
5,0,7,3,0.058833,2
5,0,8,2,0.03573,2
5,0,9,3,0.058833,2
5,0,10,2,0.036587,2
5,0,11,3,0.053353,3
5,0,12,3,0.051118,3
5,0,13,2,0.035146,3
5,0,14,2,0.036298,3
5,0,15,3,0.052826,3
5,0,16,3,0.053353,3
5,0,17,2,0.036088,3
5,0,18,1,0.020923,3
5,0,19,3,0.051118,3
5,0,20,2,0.036298,3
5,0,21,2,0.035146,3
5,0,22,3,0.052826,3
5,0,23,2,0.036088,3
5,0,24,1,0.020923,3
5,0,25,3,0.054924,3
6,0,0,1,0.044932,4
6,0,1,2,0.081238,1
6,0,2,2,0.074541,2
6,0,3,1,0.047924,2
