graph_id,graph_label,node_id,degree,pagerank,node_label,node_attr_0
0,1,0,3,0.020627,0,23.0
0,1,1,3,0.018011,0,10.0
0,1,2,3,0.019458,0,25.0
0,1,3,5,0.030009,0,7.0
0,1,4,6,0.035272,0,12.0
0,1,5,3,0.020558,0,11.0
0,1,6,3,0.019725,0,5.0
0,1,7,4,0.025079,0,7.0
0,1,8,5,0.029603,0,9.0
0,1,9,6,0.034178,0,3.0
0,1,10,3,0.018744,0,6.0
0,1,11,3,0.020627,0,22.0
0,1,12,3,0.018011,0,8.0
0,1,13,4,0.024381,0,26.0
0,1,14,4,0.024263,0,7.0
0,1,15,3,0.019226,0,12.0
0,1,16,4,0.024483,0,11.0
0,1,17,3,0.01855,0,5.0
0,1,18,4,0.023712,0,7.0
0,1,19,8,0.044717,0,8.0
0,1,20,3,0.0189,0,3.0
0,1,21,3,0.018483,0,6.0
0,1,22,4,0.026566,1,3.0
0,1,23,5,0.028702,1,9.0
0,1,24,3,0.018783,1,10.0
0,1,25,3,0.018734,1,7.0
0,1,26,3,0.02121,1,10.0
0,1,27,3,0.021075,1,8.0
0,1,28,3,0.01958,1,5.0
0,1,29,3,0.019112,1,4.0
0,1,30,3,0.019518,1,3.0
0,1,31,6,0.033923,1,3.0
0,1,32,4,0.026566,1,3.0
0,1,33,5,0.028702,1,9.0
0,1,34,4,0.023949,1,10.0
0,1,35,4,0.023197,1,7.0
0,1,36,3,0.020587,1,10.0
0,1,37,3,0.020821,1,8.0
0,1,38,4,0.024951,1,5.0
0,1,39,4,0.023961,1,4.0
0,1,40,3,0.019518,1,3.0
0,1,41,6,0.033923,1,3.0
1,1,0,3,0.033208,0,10.0
1,1,1,3,0.033208,0,10.0
1,1,2,4,0.042803,0,3.0
1,1,3,4,0.042803,0,19.0
1,1,4,3,0.033134,0,14.0
1,1,5,3,0.032712,0,24.0
1,1,6,3,0.032237,0,9.0
1,1,7,4,0.040585,0,12.0
1,1,8,4,0.040397,0,3.0
1,1,9,4,0.041532,0,10.0
1,1,10,3,0.033744,0,10.0
1,1,11,3,0.035643,0,3.0
1,1,12,3,0.03615,0,7.0
1,1,13,3,0.033127,0,3.0
1,1,14,4,0.041154,1,5.0
1,1,15,4,0.040789,1,13.0
1,1,16,3,0.033127,1,13.0
1,1,17,3,0.035755,1,10.0
1,1,18,3,0.032587,1,7.0
1,1,19,3,0.03615,1,3.0
1,1,20,3,0.033127,1,4.0
1,1,21,3,0.0332,1,4.0
1,1,22,3,0.034211,1,4.0
1,1,23,4,0.042618,1,3.0
1,1,24,5,0.051703,1,3.0
1,1,25,4,0.041951,1,3.0
1,1,26,3,0.032347,1,3.0
2,1,0,3,0.093409,0,8.0
2,1,1,3,0.093409,0,8.0
2,1,2,4,0.119624,0,17.0
2,1,3,3,0.088581,0,13.0
2,1,4,3,0.087406,0,10.0
2,1,5,5,0.137974,0,9.0
2,1,6,4,0.1124,0,16.0
2,1,7,3,0.086894,0,3.0
2,1,8,3,0.086894,0,16.0
2,1,9,3,0.093409,1,3.0
3,1,0,3,0.031438,0,11.0
3,1,1,4,0.040626,0,7.0
3,1,2,4,0.039958,0,3.0
3,1,3,6,0.057196,0,4.0
3,1,4,3,0.032728,0,11.0
3,1,5,3,0.033421,0,7.0
3,1,6,4,0.042104,0,3.0
3,1,7,4,0.042105,0,4.0
3,1,8,3,0.031331,0,11.0
3,1,9,7,0.066444,0,7.0
3,1,10,4,0.039458,0,3.0
3,1,11,6,0.057606,0,4.0
3,1,12,3,0.038153,1,4.0
3,1,13,6,0.070249,1,5.0
3,1,14,4,0.04355,1,5.0
3,1,15,3,0.032538,1,4.0
3,1,16,2,0.027169,1,4.0
3,1,17,3,0.039117,1,5.0
3,1,18,3,0.036452,1,5.0
3,1,19,4,0.043765,1,5.0
3,1,20,2,0.027132,1,4.0
3,1,21,3,0.038979,1,5.0
3,1,22,3,0.036038,1,5.0
3,1,23,5,0.052444,1,4.0
4,1,0,4,0.097632,0,12.0
4,1,1,5,0.113982,0,3.0
4,1,2,3,0.073033,0,8.0
4,1,3,3,0.073033,1,8.0
4,1,4,3,0.075909,1,9.0
4,1,5,3,0.075909,1,10.0
4,1,6,5,0.113982,1,7.0
4,1,7,5,0.113563,1,4.0
4,1,8,3,0.071636,1,4.0
4,1,9,3,0.073662,1,4.0
4,1,10,5,0.117661,1,5.0
5,1,0,3,0.002141,0,3.0
5,1,1,4,0.002777,0,7.0
5,1,2,5,0.003362,0,3.0
5,1,3,6,0.003948,0,10.0
5,1,4,5,0.003253,0,18.0
5,1,5,4,0.002771,0,3.0
5,1,6,3,0.002128,0,3.0
5,1,7,5,0.002998,0,12.0
5,1,8,4,0.002442,0,11.0
5,1,9,5,0.002981,0,3.0
5,1,10,7,0.004039,0,5.0
5,1,11,5,0.002937,0,7.0
5,1,12,4,0.002419,0,7.0
5,1,13,5,0.003039,0,18.0
5,1,14,4,0.002605,0,4.0
5,1,15,4,0.002698,0,13.0
5,1,16,5,0.00336,0,4.0
5,1,17,4,0.002718,0,17.0
5,1,18,3,0.002091,0,12.0
5,1,19,6,0.003745,0,16.0
5,1,20,5,0.003009,0,9.0
5,1,21,5,0.002966,0,9.0
5,1,22,5,0.003023,0,19.0
5,1,23,3,0.002001,0,3.0
5,1,24,4,0.002558,0,6.0
5,1,25,5,0.003102,0,10.0
5,1,26,7,0.004098,0,21.0
5,1,27,5,0.002886,0,3.0
5,1,28,5,0.002972,0,3.0
5,1,29,5,0.002986,0,4.0
5,1,30,6,0.003445,0,13.0
5,1,31,4,0.002371,0,11.0
5,1,32,5,0.002916,0,3.0
5,1,33,7,0.003964,0,5.0
5,1,34,5,0.002902,0,7.0
5,1,35,4,0.002397,0,7.0
5,1,36,5,0.003005,0,15.0
5,1,37,4,0.002566,0,4.0
5,1,38,4,0.002635,0,13.0
5,1,39,5,0.003216,0,4.0
5,1,40,4,0.002585,0,17.0
5,1,41,4,0.00251,0,12.0
5,1,42,6,0.003586,0,15.0
5,1,43,6,0.003516,0,9.0
5,1,44,5,0.002904,0,9.0
5,1,45,5,0.002956,0,19.0
5,1,46,3,0.00213,0,3.0
5,1,47,4,0.00275,0,7.0
5,1,48,5,0.003291,0,3.0
5,1,49,5,0.003245,0,10.0
5,1,50,6,0.003561,0,18.0
5,1,51,5,0.002963,0,3.0
5,1,52,5,0.003028,0,4.0
5,1,53,5,0.002991,0,4.0
5,1,54,6,0.003394,0,12.0
5,1,55,5,0.002837,0,11.0
5,1,56,6,0.003378,0,5.0
5,1,57,6,0.003363,0,7.0
5,1,58,4,0.00236,0,7.0
5,1,59,5,0.002973,0,18.0
5,1,60,4,0.002592,0,3.0
5,1,61,4,0.002693,0,13.0
5,1,62,5,0.003355,0,4.0
5,1,63,4,0.002718,0,18.0
5,1,64,3,0.002091,0,14.0
5,1,65,6,0.003745,0,15.0
5,1,66,5,0.003009,0,9.0
5,1,67,5,0.002966,0,9.0
5,1,68,5,0.003023,0,18.0
5,1,69,3,0.002001,0,3.0
5,1,70,4,0.002558,0,7.0
5,1,71,5,0.003102,0,10.0
5,1,72,7,0.004098,0,18.0
5,1,73,5,0.002886,0,3.0
5,1,74,5,0.002972,0,3.0
5,1,75,5,0.002986,0,3.0
5,1,76,6,0.003445,0,12.0
5,1,77,4,0.002371,0,11.0
5,1,78,5,0.002916,0,3.0
5,1,79,7,0.003964,0,5.0
5,1,80,5,0.002902,0,7.0
5,1,81,4,0.002397,0,7.0
5,1,82,5,0.003005,0,18.0
5,1,83,4,0.002566,0,4.0
5,1,84,4,0.002635,0,13.0
5,1,85,5,0.003216,0,4.0
5,1,86,4,0.002585,0,17.0
5,1,87,4,0.00251,0,12.0
5,1,88,6,0.003586,0,15.0
5,1,89,6,0.003516,0,9.0
5,1,90,5,0.002904,0,9.0
5,1,91,5,0.002956,0,19.0
5,1,92,3,0.001975,0,5.0
5,1,93,4,0.00255,0,6.0
5,1,94,6,0.00366,0,10.0
5,1,95,6,0.003627,0,18.0
5,1,96,5,0.002925,0,3.0
5,1,97,6,0.003502,0,12.0
5,1,98,4,0.002373,0,11.0
5,1,99,5,0.002911,0,3.0
5,1,100,7,0.003959,0,5.0
5,1,101,5,0.002902,0,7.0
5,1,102,4,0.002397,0,7.0
5,1,103,5,0.003005,0,18.0
5,1,104,4,0.002566,0,4.0
5,1,105,4,0.002635,0,13.0
5,1,106,5,0.003216,0,4.0
5,1,107,4,0.002585,0,17.0
5,1,108,4,0.00251,0,12.0
5,1,109,6,0.003586,0,15.0
5,1,110,6,0.003516,0,9.0
5,1,111,5,0.002904,0,9.0
5,1,112,5,0.002956,0,18.0
5,1,113,3,0.002025,0,5.0
5,1,114,4,0.00259,0,6.0
5,1,115,5,0.003146,0,9.0
5,1,116,7,0.004195,0,18.0
5,1,117,5,0.002954,0,3.0
5,1,118,5,0.002947,0,4.0
5,1,119,7,0.003882,0,12.0
5,1,120,5,0.002802,0,11.0
5,1,121,6,0.003338,0,5.0
5,1,122,6,0.003325,0,7.0
5,1,123,4,0.002348,0,7.0
5,1,124,5,0.002963,0,18.0
5,1,125,4,0.002589,0,4.0
5,1,126,4,0.002693,0,13.0
5,1,127,5,0.003355,0,4.0
5,1,128,4,0.002718,0,18.0
5,1,129,3,0.002091,0,11.0
