graph_id,graph_label,node_id,degree,pagerank,node_label
0,1,0,1,0.5,0
0,1,1,1,0.5,1
1,-1,0,1,0.175453,2
1,-1,1,2,0.324547,3
1,-1,2,2,0.324547,2
1,-1,3,1,0.175453,4
2,1,0,3,0.032337,5
2,1,1,1,0.012087,2
2,1,2,1,0.012087,2
2,1,3,2,0.020165,5
2,1,4,3,0.028648,5
2,1,5,2,0.019113,5
2,1,6,3,0.028383,5
2,1,7,1,0.011034,2
2,1,8,2,0.018497,2
2,1,9,3,0.026245,5
2,1,10,3,0.028375,5
2,1,11,1,0.01102,5
2,1,12,2,0.020034,5
2,1,13,2,0.02122,5
2,1,14,2,0.022804,5
2,1,15,1,0.012694,5
2,1,16,3,0.02621,5
2,1,17,2,0.018395,5
2,1,18,3,0.028582,5
2,1,19,1,0.011021,5
2,1,20,2,0.019237,5
2,1,21,3,0.029244,5
2,1,22,1,0.011216,2
2,1,23,2,0.019604,5
2,1,24,2,0.019833,5
2,1,25,2,0.019812,5
2,1,26,2,0.01985,5
2,1,27,3,0.029652,5
2,1,28,1,0.011405,2
2,1,29,2,0.020089,5
2,1,30,3,0.030634,5
2,1,31,1,0.011684,2
2,1,32,3,0.03239,5
2,1,33,1,0.012171,5
2,1,34,1,0.012171,3
2,1,35,2,0.018368,2
2,1,36,3,0.02843,5
2,1,37,1,0.010994,2
2,1,38,2,0.019058,5
2,1,39,3,0.028679,5
2,1,40,2,0.020144,5
2,1,41,3,0.032355,5
2,1,42,1,0.01208,2
2,1,43,1,0.01208,2
2,1,44,3,0.031167,5
2,1,45,1,0.011881,2
2,1,46,1,0.011881,2
2,1,47,3,0.031202,5
2,1,48,1,0.011872,2
2,1,49,1,0.011872,2
3,-1,0,3,0.063022,5
3,-1,1,3,0.067846,5
3,-1,2,1,0.026687,2
3,-1,3,2,0.046346,5
3,-1,4,3,0.069514,5
3,-1,5,1,0.02716,2
3,-1,6,2,0.044995,5
3,-1,7,3,0.063077,5
3,-1,8,3,0.065257,5
3,-1,9,1,0.026026,2
3,-1,10,3,0.063077,5
3,-1,11,2,0.044995,5
3,-1,12,3,0.069514,5
3,-1,13,1,0.02716,5
3,-1,14,2,0.046346,5
3,-1,15,3,0.067846,5
3,-1,16,1,0.026687,2
3,-1,17,3,0.063022,5
3,-1,18,3,0.065421,5
3,-1,19,1,0.026,2
4,1,0,3,0.078762,5
4,1,1,2,0.056279,5
4,1,2,2,0.057927,5
4,1,3,2,0.057927,5
4,1,4,2,0.056279,5
4,1,5,3,0.078762,5
4,1,6,3,0.081536,5
4,1,7,1,0.032529,2
4,1,8,3,0.078762,5
4,1,9,2,0.056279,5
4,1,10,2,0.057927,5
4,1,11,2,0.057927,5
4,1,12,2,0.056279,5
4,1,13,3,0.078762,5
4,1,14,3,0.081536,5
4,1,15,1,0.032529,2
5,-1,0,2,0.245542,5
5,-1,1,1,0.134309,6
5,-1,2,3,0.357483,5
5,-1,3,1,0.131333,2
5,-1,4,1,0.131333,2
6,1,0,1,0.008076,2
6,1,1,3,0.020361,5
6,1,2,3,0.019609,5
6,1,3,2,0.013815,3
6,1,4,2,0.013832,3
6,1,5,3,0.020002,5
6,1,6,2,0.013829,5
6,1,7,2,0.013796,5
6,1,8,3,0.019567,5
6,1,9,2,0.013752,5
6,1,10,3,0.020561,5
6,1,11,2,0.015971,2
6,1,12,1,0.009097,5
6,1,13,3,0.019567,5
6,1,14,2,0.013796,5
6,1,15,2,0.013829,5
6,1,16,3,0.020002,5
6,1,17,2,0.013832,3
6,1,18,2,0.013815,3
6,1,19,3,0.019609,5
6,1,20,3,0.020361,5
6,1,21,1,0.008076,2
6,1,22,3,0.019458,5
6,1,23,3,0.020929,5
6,1,24,1,0.008233,3
6,1,25,2,0.014069,5
6,1,26,3,0.020555,5
6,1,27,2,0.013673,5
6,1,28,3,0.019447,5
6,1,29,2,0.013521,5
6,1,30,3,0.019974,5
6,1,31,4,0.030124,7
6,1,32,1,0.008664,2
6,1,33,1,0.008664,2
6,1,34,2,0.016654,2
6,1,35,1,0.009529,4
6,1,36,4,0.0304,7
6,1,37,1,0.008744,2
6,1,38,1,0.008744,2
6,1,39,2,0.016786,2
6,1,40,1,0.009562,4
6,1,41,3,0.020561,5
6,1,42,2,0.015971,2
6,1,43,1,0.009097,5
6,1,44,2,0.013752,5
6,1,45,3,0.019974,5
6,1,46,2,0.013521,5
6,1,47,3,0.019447,5
6,1,48,2,0.013673,5
6,1,49,3,0.020555,5
6,1,50,2,0.014069,5
6,1,51,3,0.020929,5
6,1,52,1,0.008233,3
6,1,53,3,0.019458,5
6,1,54,4,0.0304,7
6,1,55,1,0.008744,2
6,1,56,1,0.008744,2
6,1,57,2,0.016786,2
6,1,58,1,0.009562,4
6,1,59,4,0.030124,7
6,1,60,1,0.008664,2
6,1,61,1,0.008664,2
6,1,62,2,0.016654,2
6,1,63,1,0.009529,4
7,-1,0,2,0.086404,5
7,-1,1,2,0.087486,5
7,-1,2,3,0.131276,5
7,-1,3,1,0.050799,2
7,-1,4,2,0.087486,5
7,-1,5,2,0.086404,5
7,-1,6,3,0.125348,5
7,-1,7,2,0.090313,3
7,-1,8,3,0.144966,5
7,-1,9,1,0.054759,2
7,-1,10,1,0.054759,5
8,-1,0,4,0.097309,7
8,-1,1,1,0.028605,2
8,-1,2,1,0.028605,2
8,-1,3,3,0.074521,3
8,-1,4,2,0.053943,5
8,-1,5,2,0.058817,5
8,-1,6,1,0.03286,5
8,-1,7,2,0.053943,5
8,-1,8,2,0.058817,5
8,-1,9,1,0.03286,5
8,-1,10,3,0.069897,5
8,-1,11,2,0.048479,5
8,-1,12,2,0.049098,5
8,-1,13,3,0.072374,5
8,-1,14,2,0.049098,5
8,-1,15,2,0.048479,5
8,-1,16,3,0.080824,5
8,-1,17,1,0.030736,2
8,-1,18,1,0.030736,2
9,1,0,2,0.057275,3
9,1,1,2,0.057399,3
9,1,2,3,0.083362,5
9,1,3,2,0.058442,5
9,1,4,2,0.059754,5
9,1,5,2,0.060216,5
9,1,6,2,0.059754,5
9,1,7,2,0.058442,5
9,1,8,3,0.083208,5
9,1,9,2,0.058142,5
9,1,10,2,0.059465,5
9,1,11,3,0.08928,5
9,1,12,1,0.034714,3
9,1,13,2,0.059419,3
9,1,14,3,0.087049,5
9,1,15,1,0.03408,3
10,1,0,3,0.0721,5
10,1,1,2,0.050918,5
10,1,2,3,0.078431,5
10,1,3,1,0.030508,8
10,1,4,2,0.052685,5
10,1,5,3,0.078441,5
10,1,6,1,0.03051,8
10,1,7,3,0.076393,5
10,1,8,1,0.030015,8
10,1,9,3,0.0721,5
10,1,10,2,0.050918,5
10,1,11,3,0.078431,5
10,1,12,1,0.030508,8
10,1,13,2,0.052685,5
10,1,14,3,0.078441,5
10,1,15,1,0.03051,8
10,1,16,3,0.076393,5
10,1,17,1,0.030015,8
11,-1,0,3,0.140644,5
11,-1,1,1,0.053448,5
11,-1,2,1,0.053448,5
11,-1,3,3,0.127177,5
11,-1,4,2,0.087082,5
11,-1,5,2,0.087852,5
11,-1,6,3,0.131578,5
11,-1,7,1,0.05088,5
11,-1,8,2,0.087637,5
11,-1,9,3,0.129861,5
11,-1,10,1,0.050393,2
12,1,0,1,0.075627,6
12,1,1,2,0.133653,5
12,1,2,3,0.178982,5
12,1,3,2,0.121622,5
12,1,4,2,0.122696,5
12,1,5,2,0.123104,5
12,1,6,2,0.122696,3
12,1,7,2,0.121622,5
13,-1,0,3,0.061759,5
13,-1,1,1,0.024345,5
13,-1,2,3,0.06331,5
13,-1,3,1,0.024728,6
13,-1,4,3,0.063142,5
13,-1,5,1,0.024737,2
13,-1,6,2,0.041048,2
13,-1,7,3,0.057461,5
13,-1,8,3,0.057871,5
13,-1,9,2,0.040428,5
13,-1,10,2,0.040654,5
13,-1,11,3,0.058536,5
13,-1,12,2,0.039752,5
13,-1,13,2,0.041542,2
13,-1,14,4,0.084965,1
13,-1,15,1,0.02492,7
13,-1,16,2,0.046464,2
13,-1,17,2,0.050576,5
13,-1,18,1,0.028362,5
13,-1,19,2,0.046464,2
13,-1,20,2,0.050576,5
13,-1,21,1,0.028362,5
14,1,0,2,0.062531,5
14,1,1,1,0.035955,5
14,1,2,3,0.079777,3
14,1,3,3,0.077342,5
14,1,4,2,0.055649,5
14,1,5,2,0.057427,5
14,1,6,2,0.057285,5
14,1,7,2,0.055448,5
14,1,8,3,0.07646,5
14,1,9,3,0.076582,5
14,1,10,2,0.055369,5
14,1,11,3,0.086112,5
14,1,12,1,0.033712,3
14,1,13,2,0.057351,5
14,1,14,2,0.055732,5
14,1,15,3,0.077268,5
15,1,0,2,0.087965,5
15,1,1,2,0.088141,5
15,1,2,3,0.131278,5
15,1,3,1,0.050794,3
15,1,4,2,0.086807,5
15,1,5,3,0.127243,5
15,1,6,3,0.129855,5
15,1,7,1,0.050467,2
15,1,8,3,0.140487,3
15,1,9,1,0.053481,2
15,1,10,1,0.053481,2
16,-1,0,1,0.025965,2
16,-1,1,3,0.066377,5
16,-1,2,2,0.045349,5
16,-1,3,2,0.045579,5
16,-1,4,3,0.067728,5
16,-1,5,1,0.026319,6
16,-1,6,2,0.044239,5
16,-1,7,3,0.063313,5
16,-1,8,3,0.065306,5
16,-1,9,1,0.025673,2
16,-1,10,2,0.043494,3
16,-1,11,3,0.062734,5
16,-1,12,2,0.04382,5
16,-1,13,2,0.044233,5
16,-1,14,3,0.065575,5
16,-1,15,2,0.044233,5
16,-1,16,3,0.065727,5
16,-1,17,1,0.025714,6
16,-1,18,3,0.072892,3
16,-1,19,1,0.027864,2
16,-1,20,1,0.027864,2
17,1,0,2,0.065636,3
17,1,1,2,0.065636,3
17,1,2,3,0.095313,5
17,1,3,2,0.066818,5
17,1,4,2,0.068284,5
17,1,5,2,0.068848,5
17,1,6,2,0.068284,5
17,1,7,2,0.066818,5
